,name,salary_from,salary_to,salary_currency,area_name,published_at
1978,Помощник менеджера IT-проектов (младший аналитик),,50000.0,RUR,Санкт-Петербург,2022-12-12T16:10:50+0300
1979,Руководитель проекта,,,,Москва,2022-12-12T13:50:38+0300
1980,Специалист по аналитике и отчетности,,,,Бишкек,2022-12-12T14:42:27+0300
1981,Project manager,130000.0,,RUR,Владимир,2022-12-12T15:07:07+0300
1982,Ведущий аналитик / Product Owner,,,,Москва,2022-12-12T12:38:03+0300
1983,Ведущий канала на Youtube (ASMR),10000.0,10000.0,RUR,Краснодар,2022-12-12T14:25:33+0300
1984,Стажер в отдел DevOps,,,,Белгород,2022-12-12T15:18:23+0300
1985,Мастер по ремонту газовых котлов,100000.0,,RUR,Москва,2022-12-12T12:18:13+0300
1986,Бизнес - аналитик,,,,Москва,2022-12-12T17:35:25+0300
1987,Инженер по тестированию ПО,65000.0,,RUR,Санкт-Петербург,2022-12-12T14:39:53+0300
1988,Продуктовый дизайнер (мобилка),,,,Москва,2022-12-12T14:47:14+0300
1989,Бизнес-аналитик,500000.0,,KZT,Алматы,2022-12-12T13:01:17+0300
1990,Руководитель Управления ценообразования и контроля себестоимости (Девелоперский проект),350000.0,,RUR,Москва,2022-12-12T12:47:21+0300
1991,Специалист по защите информации,40000.0,40000.0,RUR,Томск,2022-12-12T12:40:41+0300
1992,Разработчик .NET,,,,Казань,2022-12-12T13:46:17+0300
1993,Helpdesk/Специалист технической поддержки,100000.0,130000.0,RUR,Москва,2022-12-12T15:29:06+0300
1994,Редактор сайта,2000.0,,BYR,Минск,2022-12-12T13:31:45+0300
1995,Project Manager,,1500.0,USD,Минск,2022-12-12T12:25:56+0300
1996,Менеджер по IT-проектам (продажа IT-услуг),80000.0,250000.0,RUR,Екатеринбург,2022-12-12T13:33:04+0300
1997,Ночной редактор (с английским языком),140000.0,,RUR,Москва,2022-12-12T12:17:05+0300
1998,Web-дизайнер,,,,Санкт-Петербург,2022-12-12T12:20:20+0300
1999,Technical Support Manager,,,,Тбилиси,2022-12-12T14:43:52+0300
2000,Системный аналитик,120000.0,160000.0,RUR,Самара,2022-12-12T13:36:02+0300
2001,PHP разработчик (backend),80000.0,200000.0,RUR,Москва,2022-12-12T13:46:26+0300
2002,Инженер - программист (Frontend),,,,Москва,2022-12-12T15:25:47+0300
2003,Дизайнер,,,,Калуга,2022-12-12T13:27:55+0300
2004,Frontend-разработчик,,,,Краснодар,2022-12-12T16:27:12+0300
2005,Сборщик компьютеров/по ведению гарантии,40000.0,40000.0,RUR,Москва,2022-12-12T14:20:56+0300
2006,Frontend-разработчик,,,,Уфа,2022-12-12T16:27:12+0300
2007,Аналитик,,,,Минск,2022-12-12T15:35:53+0300
2008,Frontend-разработчик,,,,Санкт-Петербург,2022-12-12T12:29:30+0300
2009,Веб-разработчик,100000.0,110000.0,RUR,Владивосток,2022-12-12T13:27:46+0300
2010,Начинающий IT - специалист,35000.0,,RUR,Москва,2022-12-12T14:06:20+0300
2011,"Аналитик SQL,Python",,,,Москва,2022-12-12T13:27:58+0300
2012,Инженер сетей передачи данных,300000.0,,KZT,Астана,2022-12-12T14:22:27+0300
2013,Crypto Analyst,,,,Москва,2022-12-12T14:53:23+0300
2014,Программист,,,,Москва,2022-12-12T15:57:10+0300
2015,Аналитик,49000.0,,RUR,Рязань,2022-12-12T16:25:44+0300
2016,"Android-разработчик, проект СберИнвестор",,,,Москва,2022-12-12T13:14:35+0300
2017,Инженер Cisco (junior),,,,Алматы,2022-12-12T12:01:58+0300
2018,Директор по информационным технологиям,350000.0,,RUR,Москва,2022-12-12T17:14:03+0300
2019,Копирайтер,20000.0,40000.0,RUR,Краснодар,2022-12-12T13:26:43+0300
2020,Системный администратор,40000.0,,RUR,Волгоград,2022-12-12T15:58:09+0300
2021,Главный специалист отдела документооборота и организационной работы,42000.0,,RUR,Екатеринбург,2022-12-12T15:36:12+0300
2022,Специалист первой линии технической поддержки,25000.0,,RUR,Самара,2022-12-12T12:28:35+0300
2023,"Тестировщик / QA (web, python)",75000.0,,RUR,Екатеринбург,2022-12-12T15:23:00+0300
2024,Ведущий специалист по информационной безопасности,,,,Самара,2022-12-12T13:58:27+0300
2025,Аналитик фондового рынка,50000.0,,RUR,Москва,2022-12-12T14:46:51+0300
2026,Frontend разработчик (React),,,,Москва,2022-12-12T13:45:15+0300
2027,Системный администратор,120000.0,150000.0,RUR,Москва,2022-12-12T13:18:26+0300
2028,Старший аналитик по планированию и прогнозированию продаж (Senior Sales & Demand analyst),,,,Москва,2022-12-12T13:15:59+0300
2029,Системный администратор,70000.0,70000.0,RUR,Красноярск,2022-12-12T13:36:33+0300
2030,Графический дизайнер/Graphic Designer,,,,Алматы,2022-12-12T14:02:13+0300
2031,Младший аналитик данных,,,,Москва,2022-12-12T16:59:51+0300
2032,"Product manager ""витрины"" (EdTech)",,,,Москва,2022-12-12T16:06:37+0300
2033,Специалист отдела электронного обучения,40000.0,,RUR,Санкт-Петербург,2022-12-12T14:57:08+0300
2034,Менеджер по обучению клиентов,50000.0,100000.0,RUR,Санкт-Петербург,2022-12-12T15:40:39+0300
2035,Аналитик отдела стратегического маркетинга,,,,Санкт-Петербург,2022-12-12T14:43:40+0300
2036,Системный администратор (+работа с документами),35000.0,37000.0,RUR,Ростов-на-Дону,2022-12-12T15:05:51+0300
2037,Ведущий инженер группы информационной безопасности,,,,Астрахань,2022-12-12T14:04:56+0300
2038,Java Developer,,,,Санкт-Петербург,2022-12-12T17:22:32+0300
2039,Аналитик SQL,,,,Москва,2022-12-12T13:28:15+0300
2040,"Инженер по тестированию (web, mobile)",,,,Москва,2022-12-12T16:59:04+0300
2041,Программист Perl,,,,Москва,2022-12-12T15:57:31+0300
2042,Офис-менеджер-дизайнер в рекламное агентство,55000.0,,RUR,Сочи,2022-12-12T13:27:48+0300
2043,Тестировщик,25000.0,30000.0,RUR,Курск,2022-12-12T14:02:00+0300
2044,"Специалист технической поддержки 1С (кассы, маркировка)",45000.0,65000.0,RUR,Набережные Челны,2022-12-12T14:58:22+0300
2045,Руководитель направления развития бизнес-процессов,,,,Москва,2022-12-12T15:59:17+0300
2046,Руководитель программ,,,,Москва,2022-12-12T14:37:33+0300
2047,Менеджер интернет-магазина оптики,45000.0,60000.0,RUR,Санкт-Петербург,2022-12-12T14:33:07+0300
2048,Мастер по обслуживанию абонентов 1 категории,50000.0,,RUR,Уфа,2022-12-12T15:56:30+0300
2049,Редактор,,90000.0,RUR,Москва,2022-12-12T14:41:58+0300
2050,Заместитель главного редактора,100000.0,,RUR,Москва,2022-12-12T12:13:11+0300
2051,Data-analyst (Кипр),,,,Санкт-Петербург,2022-12-12T13:20:04+0300
2052,Бизнес-аналитик,,,,Санкт-Петербург,2022-12-12T15:33:44+0300
2053,Главный эксперт отдела развития инфраструктуры (архитектор вычислительной инфраструктуры),,160000.0,RUR,Волгоград,2022-12-12T14:31:54+0300
2054,Оператор листогибочного пресса с ЧПУ,80000.0,110000.0,RUR,Сергиев Посад,2022-12-12T14:41:58+0300
2055,C# разработчик,,,,Санкт-Петербург,2022-12-12T14:44:00+0300
2056,Технический специалист,25000.0,60000.0,RUR,Оренбург,2022-12-12T13:23:17+0300
2057,Специалист по IT,150000.0,200000.0,KZT,Уральск,2022-12-12T16:45:50+0300
2058,Инженер на 3-ю линию поддержки (ППРБ.Карты),,,,Москва,2022-12-12T15:03:21+0300
2059,Инженер-программист,,,,Москва,2022-12-12T12:57:58+0300
2060,Администратор-менеджер по работе с клиентами,40000.0,55000.0,RUR,Санкт-Петербург,2022-12-12T15:41:38+0300
2061,Системный инженер в команду беспилотных автомобилей,,,,Москва,2022-12-12T17:57:52+0300
2062,Консультант 1С (удаленно),,,,Москва,2022-12-12T15:31:00+0300
2063,HTML-верстальщик (в офис),40000.0,70000.0,RUR,Москва,2022-12-12T17:19:28+0300
2064,"Резчик на пилах, ножовках и станках",80000.0,90000.0,RUR,Екатеринбург,2022-12-12T14:49:12+0300
2065,Баннермейкер,,45000.0,RUR,Москва,2022-12-12T12:42:38+0300
2066,Моушен-дизайнер,,,,Санкт-Петербург,2022-12-12T13:16:44+0300
2067,Системный аналитик,,,,Самара,2022-12-12T14:00:31+0300
2068,Аналитик данных,,,,Казань,2022-12-12T17:31:35+0300
2069,Системный администратор,,92000.0,RUR,Москва,2022-12-12T14:32:13+0300
2070,UX-дизайнер / UX-аналитик,45000.0,,RUR,Ростов-на-Дону,2022-12-12T17:02:59+0300
2071,Администратор баз данных и серверов приложений,,,,Челябинск,2022-12-12T14:56:53+0300
2072,Senior DS Optical engineer в цент робототехники Сбера,,,,Москва,2022-12-12T17:20:53+0300
2073,Помощник системного администратора,50000.0,,RUR,Жуковский,2022-12-12T17:00:03+0300
2074,Координатор IT-проектов,,,,Тбилиси,2022-12-12T12:22:45+0300
2075,Junior Data Engineer/ BI Аналитик,,,,Москва,2022-12-12T14:12:53+0300
2076,"Ресечер, отдел исследований",,,,Москва,2022-12-12T16:47:37+0300
2077,QA инженер (Инженер по автоматизированному тестированию),,,,Краснодар,2022-12-12T12:16:26+0300
2078,Руководитель IT проектов,,,,Москва,2022-12-12T14:33:09+0300
2079,Аналитик,100000.0,,RUR,Москва,2022-12-12T14:16:54+0300
2080,Руководитель волонтерского отделения,,,,Москва,2022-12-12T17:03:54+0300
2081,Менеджер продукта в команду сообществ,,,,Москва,2022-12-12T13:17:09+0300
2082,Оператор на гибочный пресс с ЧПУ,60000.0,,RUR,Санкт-Петербург,2022-12-12T15:35:22+0300
2083,Системный администратор / Anykey system administartor,,,,Минск,2022-12-12T17:49:23+0300
